task_ID,paper_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Text,Texture,What Cat.,What Subcat.
T48,he2021,Display Grid Equipment Fault and Outage Status,"Colour-coded symbols, animated icons, and tables on WebGIS interface",Users view the power grid operation information layer where equipment status is shown through colour coding and symbol changes on the map and fault information appears as animated icons at equipment locations. User can access detailed tables for specific fault information.,All,Geo,R1,A3,Assist dispatchers in making operational decisions based on equipment status,Search,Lookup,,"Visual symbols and colour coding on network elements, animated icons; Mark: Icons/symbols at equipment locations",Click for details (implied),Status layer on grid map,Filter by status type or severity,Blinking/Animation: Active faults,"Status (e.g., red for fault, gray for outage)",,,,,Equipment type,Severity or importance,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T49,he2021,Monitor Voltage Levels at Grid Nodes, Heat map visualisation at station locations on WebGIS,Users acess the station voltage heat map (colour gradients at node positions) and identify voltage anomalies (hot spots for over/under voltage). Interactive features allow examining specific node values.,All,Geo,R1,A3,Identify voltage anomalies for grid operation analysis,Query,Identify,,Mark: Bubbles or circles at node locations,Real-time updates,Voltage layer on grid,Threshold filtering (show only abnormal values),,Normal (green) vs abnormal (yellow/red),,,Geographic node location,,,Voltage magnitude or deviation,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T50,hock2018,Identify and Address Future Voltage Violations,"Dashboard with bar charts and graphs, ESRI ArcGIS with time-enabled layers displaying 15-minute interval predictions","Users view bar charts showing normal and emergency violations, with red bell alarm indicators (high voltage violations) and blue trangles (low voltage) at station locations. User views geographic map with tabs for each future time point (15, 30, 45, 60 minutes). User clicks on triangles to get popup window with station details and access one-line diagram via ""More info"" hyperlink in popup.",All,Geo,R1,A3,Address voltage violations well in advance of their occurrence,Query,Identify,,Geographic map with red/blue triangles at station locations,"Navigate through time tabs (15, 30, 45, 60 min views)",Separate tabs for each future time point,Filter to show only violations (not normal values),,"Red (high violations), Blue (low violations)",,,Geographic coordinates on map,,,Fixed (implicit in paper),,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T51,hock2018,Prioritise Basecase vs Contingency Violations,GIS map with colour intensity/transparency encoding,"Users observe transmission lines displayed in red for overloads-basecase violations requiring immediate attention, low intensity/transparent red indicates contingency violations. User can visually distinguish at a glance which violations are current vs potential.",All,Geo,R1,A3,Distinguish violations that need immediate attention (basecase) from potential contingency violations,Query,Compare,,"Lines coloured red for overloads; solid colour for basecase, transparent/low intensity for contingencies; Mark: Same marks as underlying violations (triangles for voltage, lines for overloads)",Toggle transparency levels,Layered on same map view,Visual hierarchy through opacity differentiation,,Inherited from violation type,,,,"Solid/full saturation for basecase, reduced opacity for contingencies",,,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T52,hock2018,Identify High-Risk Transmission Lines for Potential Outages,GIS map with calculated probability overlay based on loading and weather,Users view transmission lines with probability values (system calculated) displayed and can correlate with weather radar overlay showing storm intensity. Higher risk lines are identified based on loading above threshold (>100%) and weather conditions.,All,Geo,R1,A3,Determine priority focus of potential forced outages for increased situational awareness,Analyse,Produce,Derive,"Geographic map with weather overlay, calculated probability values; Mark: Lines (transmission paths)","Select geographic areas for analysis
Animate weather overlay",Weather layer + grid layer superimposed,"Aggregate into reliability index IR
Filter by risk threshold",For storm movement correlation,,,,,Risk level gradient,,Line width: Could indicate loading (implied),,,Topology-Based,Connectivity
T53,hock2018,Track Scheduled Outages Within Operational Window,GIS map with dashed line symbology and time annotations,Users see dashed green/blue lines on map with countdown timers-scheduled outages appear as dashed blue lines and scheduled innages appear as dashed green lines. The number of minutes until scheduled start time is displayed next to each line. Only outages within 2-hour forward window are shown. System automatically updates as time progresses.,All,Geo,R1,A3,Give instant overview of transmission facilities likely to become soon unavailable,Search,Lookup,,"Dashed blue lines for outages, dashed green for innages, with minutes remaining displayed; Mark: Dashed lines",,Overlaid on main grid view,"Filter to 2-hour window only
Hide outages beyond time horizon",,"Blue (planned outages), Green (innages/already de-energized)",,,,,,,Minutes remaining (numeric label),Line style: Dashed pattern,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T54,hock2018,Locate Available Reactive Resources Near Voltage Violations,Pie chart symbols at station locations on GIS map,"Users identify available reactive resources via colour-coded pie charts, voltage violations shown as red/blue triangles, nearby stations displayed as pie charts, green sectors indicate available compensation (capacitor banks), brown sectors indicate charging resources, light beige/green indicates unused but available resources and fully filled circles indicate all resources are available for switching. User clicks stations for popup with detailed reactive resource information.",Geospatial + Network,Geo,Other,Other,Quickly identify remediation options geographically close to voltage problems,Search,Browse,,"Pie chart symbols at stations (green=compensation, brown=charging) with triangles for violations; Mark: Pie charts",Click for detailed station one-line diagram,Overlaid with voltage violation layer,"Filter out stations with no reactive resources
Aggregate by station",,"Green (compensation), Brown (charging), Beige (available compensation), Light green (available charging)",,Angle/Arc: Proportion of used vs available,Station geographic location,,,Total capacity (implied),,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T55,hock2018,Analyse Voltage Profiles in User-Selected Geographic Areas,GIS map with interactive drawing tools and spatial analysis,"Users draw geometric shape on map (rectangle, ellipse, circle, or freehand) and the system identifies all stations within selected area. Stations with voltages above/below threshold appear as blue circles. Detailed list appears on right side showing all identified stations. User can click items in list to navigate to specific station locations on map. User can apply analysis to selected area or entire network.",Geospatial + Network,Geo,R5,A5,Examine detailed voltage conditions in specific areas for targeted analysis,Query,Summarise,,"User-drawn shapes on map, blue circles for threshold violations, detailed list; Mark: Blue circles on map + list items","Draw selection shapes (rectangle, ellipse, freehand)
Click list items to navigate to station","Juxtapose: Map view + detail list panel
Coordinate: Linked highlighting between views","Filter to user-selected area
Filter by voltage threshold
Aggregate into summary statistics",,Blue for violations,,,Geographic location on map,,Circle marker,,Station details in list view,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T56,hong2019,View the automatically generated OLND,Automatically generated orthogonal one-line diagrams using branch-and-bound layout algorithm,Users view the pre-generated diagram that has been automatically created by the algorithm. The viewing is passive - users interpret the automatically generated and laid out diagrams rather than interactively creating or modifying them.,Network,No Geo,R5,A5,View the generated system representation to see the substation topology for monitoring and control purposes,Analyse,Consume,Present,"Node-link diagram with orthogonal layout; Marks: Nodes: Standardized electrical symbols (specific shapes per component type), Edges: Lines (straight or orthogonal paths)","Interactive Rendering: Web-based visualisation using Hightopo JavaScript UI library
Navigation: Pan and zoom capabilities (implied for web interface)
Component Selection: Click for details (implied from web implementation)","Spatial Separation by Voltage:
Upper level: Higher voltage regions
Lower level: Lower voltage regions
Separate rectangular regions for each voltage level
Bus Scheme Organization:
Different layouts for different bus schemes (Fig. 4 shows 4 different schemes)
Voltage regions arranged by magnitude","Layout Optimization:
Minimize line crossings through intelligent routing
Avoid component overlap through spacing algorithms
Even distribution of components along buses

Filtering:
Hide stations without reactive resources (mentioned in references)
Show only relevant voltage levels for specific substation

Aggregation:
Group components by branches and sub-branches
Combine related components into branch structures

Simplification:
Use standard symbols instead of detailed equipment drawings
Abstract complex connections into simplified paths",,"Line colour indicates voltage level (""rgb(255,0,0)"" for specific voltages)
Component state visualisation (implied)",,"Component rotation for proper electrical flow representation
Branch direction (upward for normal, downward for generators)","Grid-based placement; X,Y coordinates computed by layout algorithm
Vertical stratification by voltage level (higher voltage at top)
Horizontal distribution based on bus length and branch positions",More important vertices are coloured in darker shades of grey (Page 4),"Component-specific symbols from Table I (breaker, disconnector, etc.)","Fixed symbol sizes (standardized electrical notation)
Bus length varies based on connected branches","Solid lines for connections
Line width constant (standard electrical notation)",,Overview,General Overview
T57,huang2011,Monitor Voltage Stability at Pilot Nodes on the Network Diagram,"Voltage stability index display on textboxes, colour-coded index values, network diagram with colour-coded displays","Users observe colour-coded textboxes beside pilot buses showing VSISCC values and interpret VSISCC values where 1 is critical, <1 stable, >1 unstable. Users view the network diagram (no underlying map but has uses geography as input) where pilot nodes are marked. The colour of textboxes changes based on VSISCC values to indicate stability levels.",Network,No Geo,Other,Other,Monitor system state for stability issues,Analyse,Consume,Discover,"Geographic network diagram with colour-coded textboxes displaying values, Express: Geographic network diagram, Map: VSISCC values to textbox colours, Arrange: Geographic wiring diagram layout",Select: Click on pilot nodes for details,Partition: System divided into 5 VMAs,"Filter: Only pilot nodes show VSISCC values (not all 97 buses)
Aggregate: Each VMA represented by one pilot node",,"Textbox colour changes with VSISCC value (green=stable, yellow=alert, red=emergency)",,,Geographic layout of power system,,"Circles for nodes, lines for connections",,"Numerical VSISCC values displayed (e.g., ""0.7866"", ""0.5117"")",,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T58,huang2011,View VSISCC Curves of Specific Nodes,"Real-time voltage curves from PMUs. Interactive geographic network diagram linked to temporal line charts Interface shown in Figure 6 with ""VSISCC curve"" display panel",Users select specific nodes on the network diagram and observe voltage fluctuations in actual temporal VSISCC curves (right panel Figure 6),Network + Temporal,No Geo,R1,A3,Analyse voltage stability trends for selected nodes,Analyse,Consume,Discover,"Interactive selection on network diagram linking to temporal line charts; Express: Linked views - geographic network + line charts, Map: Selected node to temporal visualisation","Select: Click nodes on network diagram to display curves
Navigate: Pan/zoom in temporal view",Juxtapose: Geographic view and temporal view shown together,"Filter: Show curves only for selected nodes
Navigate: Focus on specific time periods",,,,,Geographic layout,,Highlighting: Selected node emphasis,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T59,hussain2018,Verify the Correctness of the Auto-Generated SLD,Display the auto-generated SLD in an SVG viewer,Users visually compare the original and the auto-generated SLD,Network,No Geo,R5,A5,Confirm that the algorithm preserved the correct electrical topology and connections,Analyse,Consume,Present,"Visual comparison between two diagram representations, Side-by-side or mental comparison of network structures","Navigate: View the entire SLD or zoom to specific areas
Select: Not explicitly mentioned but implied for examining specific components","Partition: Different distribution lines (DL1, DL2, etc.) can be viewed separately
Superimpose: Virtual switches/nodes overlaid when resolving collisions","Aggregate: Multiple tapped lines (>3) transformed into ternary tree using virtual nodes
Filter: Display only relevant components for each feeder
Embed: Hierarchical structure embedded in 2D orthogonal layout",,Black/white distinction for switch states,,,Primary channel - orthogonal layout with components positioned according to alignment algorithm,,"Different symbols for different equipment types:
Circles for switches (filled = closed, empty = open)
Rectangles for substations
Lines for sections",Uniform sizing for clarity,,,Overview,Overview for Comparison/Verification
T60,kovacev20232,Compare Generated Diagrams,Quantitative comparison using the fitness values from formula (9),"Users compare the numerical fitness scores calculated for each diagram-lower values indicate better quality diagrams.
",Network,No Geo,R5,A5,Identify which diagrams are better,Analyse,Consume,Discover,"Compare quantitative values derived from quality assessment formula; Arrange: Tabular layout (as shown in Table 3)
Map: Numerical values directly mapped to table cells",,,,,,,,Spatial arrangement in table rows and columns,,,,Numerical fitness scores displayed as text,,Overview,Overview for Comparison/Verification
T61,kovacev20232,Verify Algorithm Results with Human Expert,Visual inspection of generated PDF diagrams (example shown in Figure 10),"Users visually review the generated diagrams: Whether feeders are ""evenly balanced"" around the hub node, if the diagram is ""100% orthogonal"" and overall visual clarity and usability.",Network,No Geo,R5,A5,Verify that diagrams are usable,Analyse,Consume,Present,"Visual inspection by domain expert, Express: Node-link diagram
Separate: Different feeders arranged in distinct spatial regions
Order: Feeders arranged around central hub node
Align: Orthogonal layout with axis-aligned edges",,"Partition: Network divided into 16 feeders arranged around hub
Quote: ""It consists of 1269 vertices arranged into 16 feeders"" (Page 9)","Filter: Expert reviews ""subset of other generated diagrams"" rather than all
Aggregate: Not applicable - full detail maintained for verification",,,,,2D spatial layout on orthogonal grid,More important vertices are coloured in darker shades of grey (Page 4),"Rectangles for nodes, lines for edges",Hub node shown as larger square,,,Overview,Overview for Comparison/Verification
T62,lawanson2018,Visualise voltage violations in the distribution network,Hexagonal heatmap with colour coding overlay,"Users can toggle on hexagonal heatmap layer from Map Control Menu, select voltage type (average/maximum/minimum) from menu, use slider at bottom to change timestamp, hover over heatmap cells to see voltage details and interpret colours: dark blue (undervoltage), red (overvoltage), green (acceptable).",Geospatial + Network,Geo,Other,Other,Monitor and identify areas with voltage outside acceptable ranges,Query,Identify,,"Hexagonal heatmap with colour encoding (dark blue for undervoltage, red for overvoltage, green for acceptable), Hexagonal cells (binned areas)","Select: Choose voltage type (avg/max/min) from menu
Navigate: Time slider for temporal navigation
Details-on-demand: Hover for specific values",Superimpose: Heatmap layer over network,Aggregate: Hexagonal binning of meter readings,,"Diverging scheme (dark blue=undervoltage, green=normal, red=overvoltage)",,,Geographic coordinates,Overlay transparency,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T63,lawanson2018,Identify mismatched meter-to-transformer associations,Connected lines on map with colour coding,Users can click/select a meter or transformer on the map and the system displays connection lines to associated components. Yellow circles indicate transformers with mislinked meters (>0.1 mile away) and green circles indicate correct associations.,Geospatial + Network,Geo,R4,A1,Verify correct connectivity between meters and transformers in the distribution network,Query,Identify,,"Timeline view, calendar view, coordinated colour coding across views, Mark: Points (meters/transformers), Lines (connections)","Select: Click on meter/transformer for details
Highlight: Connected components emphasized on selection",,Filter: Show only mislinked connections based on distance threshold,,"Green (correct), Yellow (mislinked)",,,Geographic coordinates,,,,,,Topology-Based,Common Connection
T64,lawanson2018,Analyse temporal patterns of meter alarm events,Timeline view + Calendar view (coordinated),Users can select/brush time range in Timeline (bottom of interface) to filter map view for alarm frequency over time. The Calendar view is used to identify high-alarm days/weeks/months. The colours are coordinated across views for alarm types.,All,Geo,R1,A3,Identify frequencies and patterns of alarm events over time,Analyse,Produce,Derive,"Mark: Lines/areas in timeline, Points in calendar cells","Select: Brush time range to filter
Navigate: Scroll through time periods
Change: Switch between timeline and calendar views","Coordinate: Timeline + Calendar + Map views linked
Partition: Calendar shows daily/weekly/monthly facets","Aggregate: Bin alarms by time intervals (hours/days/months)
Filter: Selected time range updates all views",,Categorical scheme for alarm types (consistent across views), Daily/weekly/monthly aggregations in calendar,,"Horizontal axis (time), Vertical axis (alarm frequency)",,,Height: Frequency/count of alarms,,,Domain-Specific,Temporal Analysis
T65,lawanson2018,Explore feeder circuit topology and structure, Circuit diagram map layer,"Users can toggle on ""Circuit"" layer from Map Control Menu and view circuit schematic overlaid on geographic map or combine with other basemaps (topographic/streets/satellite).",Geospatial + Network,Geo,R4,A1,View and understand the electrical circuit schematic alongside geographic context,Analyse,Consume,Discover,"Circuit diagram overlay on map layers, Mark: Lines (circuits), Points (buses/components)","Select: Toggle circuit layer on/off
Navigate: Pan and zoom on map","Superimpose: Circuit diagram overlaid on geographic basemap layers
Layer: Multiple toggleable map layers (circuit, topographic, satellite)",,,Component type,,,Geographic coordinates,,,,,,Topology-Based,Adjacency - Direct Connection
T66,lawanson2018,Verify phase connectivity models,Voltage profile visualisation with network connections,"Users can select meters/transformers to view connections, compare voltage measurements across connected components, use the Data Table view to see 3-phase voltage measurements and identify phase mismatches through voltage pattern analysis.",Geospatial + Network,Geo,R4,A1,"Validate phase identification for transformers, meters and single-phase devices",Query,Identify,,"Visual comparison of voltage patterns across connected components,  Points (components), Lines (connections)",Select: Choose components to compare,"Coordinate: Data table showing 3-phase measurements
Juxtapose: Compare patterns across connected components",Derive: Pattern analysis to identify mismatches,,,,,Geographic coordinates,,,,,Voltage patterns across phases,Topology-Based,Adjacency - Direct Connection
T67,lawanson2018,Identify spatial clusters of alarm events,Cluster layer with aggregated rings or Heatmap,"Users can toggle on ""Event Cluster"" or ""Heatmap"" layer from Map Control Menu. For clusters,  the number centered in each ring represents the number of all alarm events in the area with the segment showing different alarm types. Zoom in/out capabilities to see clusters re-aggregate at different scales.",All,Geo,R1,A3,Locate areas of concentrated alarm activity for focused analysis,Query,Identify,,"Cluster layer with aggregated rings, heatmap visualisation, Mark: Rings (clusters) with segments, Hexagonal cells (heatmap)","Navigate: Zoom changes cluster aggregation level
Select: Click cluster to see details","Superimpose: Clusters/heatmap overlaid on network map
Layer: Toggle between cluster and heatmap views","Aggregate: Dynamic clustering based on zoom level
Aggregate: Hexagonal binning for heatmap
Filter: Can be filtered by time selection from timeline",,"Heat intensity (red=high, green=low) or alarm type",,,Geographic coordinates,,,Ring diameter (total alarm count),Number: Cluster center shows total count,,Domain-Specific,Geographic/Spatial Integration
T68,lawanson2018,Browse distribution system circuits by type,Toggleable circuit view layers,"Users can use Map Control Menu ""GIS"" section to toggle between: overhead/underground circuits, primary/secondary circuits and view displays circuit connectivity with transformers (circles) and meters.",Geospatial + Network,Geo,R4,A1,"Selectively view different circuit components (overhead/underground, primary/secondary)",Search,Browse,,"Map control menu with toggleable circuit , Mark: Lines (circuits), Points (transformers as circles, meters)","Select: Toggle circuit types from Map Control Menu
Navigate: Pan and zoom",Partition: Separate toggleable layers for each circuit type,Filter: Show only selected circuit type,,"Green circles (transformers), component types",,,Geographic coordinates,,Different for circuit types,,,,Topology-Based,Adjacency - Direct Connection
T69,lendak2013,View Different Levels of Detail Based on Zoom Level,Adaptive one-line diagrams with importance levels,"Users view simplified diagrams at low zoom showing only critical infrastructure, then see more detail as they zoom in.",Network,No Geo,R5,A5,Show appropriate level of detail,Analyse,Consume,Present,"Semantic zoom with progressive disclosure based on importance levels; Express: Orthogonal node-link diagram
Map: Importance to visibility at different zoom levels","Navigate: Zoom in/out to change detail level
Select: Choose zoom level (D1-D5)",,"Filter: Automatic filtering based on importance level
Aggregate: Less important objects hidden at lower zoom",,,,,Grid-based orthogonal layout,Darker shades for higher importance (shown in Fig 3),Different symbols for different component types,,,,Overview,General Overview
T70,lendak2013,Identify Most Important Information First,Importance-based categorisation with shaded colouring,Users identify important vertices coloured in darker shades of grey.,Network,No Geo,R5,A5,Identify critical infrastructure elements,Analyse,Consume,Discover,"Visual encoding using importance-based filtering and progressive display; Express: Filtered network view
Order: Display from most to least important
Map: Importance to visual prominence",,Partition: Different diagrams for each importance level (D1-D5),"Filter: Show only nodes above importance threshold
Aggregate: Hide lower importance details",,,,,Higher importance shown first/always,More important vertices are coloured in darker shades of grey (Page 4),,Hub node shown larger,,,Overview,General Overview
T71,lendak2013,Maintain Relative Positions of Important Objects Across Zoom Levels,"Multi-level importance hierarchy (D1-D5 diagrams) with branch-and-bound placement algorithm, optional manual positioning for key objects, and divide-and-conquer approach for zoom level management.",Users select the desired level of detail and the algorithm ensures important objects remain in the same relative positions across all zoom levels. Users don't manually maintain positions as the system automatically maintains positional consistency.,Network,No Geo,R5,A5,Preserve spatial context and relationships,Analyse,Consume,Present,"Consistent spatial layout with colour encoding (darker shades for more important vertices); Express: Consistent spatial layout
Align: Grid-based orthogonal positioning
Order: Maintain relative positions across scales","Navigate: Zoom changes detail but not important node positions
Select: Manual position setting for highest importance level",Superimpose: Multiple detail levels share same base layout,"Filter: Add/remove details while preserving core layout
Navigate: Semantic zoom maintaining spatial relationships",,,,,Fixed spatial coordinates for important nodes,Importance encoding maintained,,,,,Overview,General Overview
T72,li2008,Make Operational Decisions Based on Diagrams,Automatically generated orthogonal one-line diagram,"Users interpret the automatically generated diagram to make operational decisions by: viewing the complete network topology - The diagram shows all facilities and their connections in a clear, collision-free layout, tracing power flow paths - Following the orthogonal lines from source (substation) through feeders to loads, identifying network conditions - Reading the current configuration of switches, transformers, and connections, and making decisions based on the clear visualisation - The accurate, error-free diagram helps avoid incorrect operational decisions.",Network,No Geo,Other,Other,Identify correct topology for decision-making,Analyse,Consume,Present," Interpret automatically generated diagrams with verified topology; Express: Orthogonal one-line diagram
Map: Operational states to visual elements
Order: Logical flow from source to loads",Select: Identify specific network elements for analysis,,"Filter: Focus on relevant network sections
Navigate: Trace specific feeders or paths",,,,Collision-free routing for clarity,Systematic orthogonal arrangement,,Standard electrical symbols for equipment,,,,Domain-Specific,Decision Support/Control 
T73,li2008,Visualise Distribution System Current State and Facilities Connectivity,Automated one-line diagram with geometric network model,"Users see connections between facilities through automatically generated diagrams showing buses, branches, switches, and transformers.",Network,No Geo,R5,A5,Show system state and connections,Analyse,Consume,Present,"One-line diagram with orthogonal layout; Express: Orthogonal one-line diagram
Arrange: Intelligent routing algorithm for layout
Align: Horizontal main feeder, vertical/horizontal branches",,,"Abstract: Geographic complexity reduced to topological representation
Simplify: Three-phase system shown as single line",,,,"Main feeder horizontal, branches alternate vertical/horizontal",Grid-based orthogonal layout,,Different symbols for different equipment types,,,,Overview,General Overview
T74,liu2018,Identify vulnerable network components during extreme weather,Heat maps overlaid on transmission network single line diagram,Users identify components with failure probability above threshold (Pthr=0.1) shown in red/yellow/orange (vulnerable) on heat maps (p.4). Colours indication: blue (low/zero failure probability) to red (high/certain failure probability).,Geospatial + Network,Geo,R3,A4,Locate network components at high risk of failure,Search,Locate,,Heat maps with colour gradients (blue=low risk to red=high risk); Network layout map with colour encoding,Select time intervals (4-hour periods),Temporal faceting (6 time intervals),Filter components by probability threshold (Pthr = 0.1),,Failure probability (blue=0 to red=1),,,Geographic coordinates,Failure probability (blue=0 to red=1),,,,,Topology-Based,Connectivity
T75,liu2018,Present spatiotemporal evolution of network vulnerability,Time-series heat maps on network diagram at 4-hour interval,"Users track vulnerability evolution through sequential network diagram heat maps showing 6 time intervals at hours 1-4, 5-8, 9-12, 13-16, 17-20, and 21-24 (Figs. 9-10, p.4). E.g. Observe progression of the windstorm's impact across network components.",All,Geo,R1,A3,Track how vulnerability changes over time and space,Analyse,Consume,Present,Animated/sequential heat maps at different time intervals;  Heat maps with temporal animation,Navigate through time steps,Small multiples for time periods (Figures 9 & 10),,,Vulnerability level (blue to red gradient),,,Geographic location; Temporal ordering: Sequential frames,Vulnerability level (blue to red gradient),,,,,Overview,Overview with Monitoring/Tracking
T76,liu2018,Compare network robustness under different scenarios,Side-by-side network diagrams comparing base vs. robust configurations,"Users can compare network heat maps between base case and ""20% more robust"" case by observing colour changes on same transmission lines (e.g., from yellow to blue) to assess effectiveness of robustness improvements on specific network corridors.",Geospatial + Network,Geo,R4,A1,Evaluate infrastructure enhancement strategies,Analyse,Consume,Discover,Side-by-side heat map comparisons; Fragility curves (Figure 7) and comparative heat maps (Figure 11),Switch between scenarios,Juxtaposition of base vs. robust cases,,,Vulnerability difference (yellow?blue indicates improvement),,,Wind speed vs. failure probability,,,,,Line style: Different scenarios (solid/dashed),Topology-Based,Connectivity
T77,liu2018,Identify components exceeding vulnerability thresholds,Binary visualisation on network diagram (vulnerable/not vulnerable based on Pthr = 0.1),Users view network diagram where components with failure probability > 0.1 are highlighted and can focus on highlighted transmission lines for operational decisions. Threshold-based filtering allows users to identify critical components requiring attention.,Geospatial + Network,Geo,R5,A5,Determine which components require immediate attention,Query,Identify,,Binary classification visualisation (vulnerable/not vulnerable); Histogram (Figure 8) and filtered network view,Adjust threshold value,,Filter by threshold (Pthr = 0.1),,Time period (different coloured bars),,,Bins of probability ranges,,Height: Number of components,,,,Overview,Overview for Comparison/Verification
T78,liu2018,Present network vulnerability for operational decision-making,Real-time/projected vulnerability visualisation on GIS-based network heat maps showing the 29-bus GB transmission network,"Users use heat maps to decide on ""preventive generation re-dispatch"" or ""controlled islanding"" (p.5) and interpret vulnerability levels through colour gradients on actual network topology (visual risk assessment).",All,Geo,R1,A3,Support timely preventive and corrective actions,Analyse,Produce,Derive,Clear visual heat maps for operator situation awareness; Integrated dashboard view with multiple coordinated visualisations,Interactive exploration of different aspects,Multiple views (network + regional),Aggregate to decision-relevant summaries,,Failure probability (blue=0 to red=1)Vulnerability level (blue to red gradient)Vulnerability difference (yellow?blue indicates improvement)Time period (different coloured bars),,,Geographic coordinatesGeographic location; Temporal ordering: Sequential framesWind speed vs. failure probabilityBins of probability ranges,Failure probability (blue=0 to red=1)Vulnerability level (blue to red gradient),Height: Number of components,,,Line style: Different scenarios (solid/dashed),Overview,General Overview
T79,liu2023,Explore spatial propagation of control strategy impact across the power plant,Hierarchical force-directed graph layout; Dual-mode graph view (relationship-oriented and context-oriented layouts),Users view and trace propagation paths with highlighted circles and coloured links showing correlations (Fig. 7B). Users can toggle between two layout modes using the interface. In relationship-oriented mode: View force-directed graph where nodes represent sensors/units and edges show impact relationships with thickness encoding correlation strength. In context-oriented mode: View schematic workflow diagram preserving actual spatial positions. Users can click on highlighted circles to explore affected components.,Network,No Geo,R4,A1,Understand how control strategies affect different components and sensors spatially,Analyse,Consume,Discover,"Dual-mode graph view with relationship-oriented and context-oriented layouts; Marks:
Nodes: Circles (hollow for control, solid for state sensors)
Edges: Lines with thickness encoding correlation strength","Click sensors to reveal impact propagation links
Switch between relationship/context modes",Facet:,"Show only sensors with significant changes
Convex hull for component boundaries",,Stage encoding (hue for component stages); Line colour: Positive (yellow) vs negative (pink) correlation,,,Force-directed layout (relationship mode) or schematic layout (context mode),Component/unit level encoding,Line thickness: Correlation strength,Enlarged for significantly changed sensors,,,Topology-Based,Accessibility - Direct/Indirect Connection
T80,liu2023,Switch between relationship and context views of the network,Dual-mode graph visualisation with toggle capability,Users use interface control to switch between views. Relationship view: Examine force-directed layout emphasizing connections and Context view: See familiar workflow diagram with actual component positions. User can compare the same data in both representations to gain different insights.,Network,No Geo,Other,Other,Balance between understanding impact relationships and spatial context,Search,Browse,,"Toggle between force-directed layout and schematic workflow diagram; Relationship-oriented view:
Position: Hierarchical force-directed layout
Distorted schema to emphasize relationships
Context-oriented view:
Position: Actual workflow diagram positions
Preserved schematic layout","Toggle button to switch between modes
Interactive mode selection", Two distinct layout modes (not shown simultaneously),Same filtering in both modes,,,,,Relationship-oriented view: Hierarchical force-directed layout;Context-oriented view: Actual workflow diagram positions,,,,,,Browsing,Revisit
T81,liu2023,Trace propagation paths through the power plant system,Graph view with highlighted propagation paths and directional links,"Users can click on sensors/components in the graph view, observe highlighted coloured links showing propagation direction, follow visual path from component to component. Link colours indicate positive (yellow) or negative (pink) correlations and thickness represents correlation strength.",Network,No Geo,R4,A1,Follow cascading effects through components,Analyse,Consume,Present,"Highlighted links and nodes showing propagation direction; Strategy View:
Marks: Node-link diagram (left) + Bar charts (right)
Position: Topological layout showing cascading relationships
Time-aligned bars showing temporal patterns
Graph View:
coloured, directed edges showing propagation
Arrow direction for causal flow","Click to follow paths
Hover for details",Topology-temporal linked layout,Show only relevant path segments,,Yellow (positive) or pink (negative) correlation,,Arrow direction for causal flow,,Bar opacity: Trend highlighting,Edge thickness: Correlation strength; Bar height: Sensor value magnitude; Triangles: Mark control sensors,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T82,liu2023,Inspect and edit extracted control strategies,Strategy view with node-link topology visualisation,"Users wiew control strategy as a node-link diagram in strategy view and click on nodes to expand and explore connections.
User can use the editing operations: Insert: Add missing sensors between nodes, Expand: Click to discover additional connected sensors or Delete: Remove incorrect sensors from the strategy and observe how the network topology updates after edits.",Network,No Geo,Other,Other,Verify and refine control strategy extraction results,Query,Identify,,"Interactive editing operations (expand, delete, insert) in strategy view; Filter View:
Event glyphs with semantic icons
Trend shapes (rising/falling/stable)
colour coding for stages
Strategy View:
Node-link topology
Time-lag aligned bar charts","Add/delete sensors (insert, expand, delete operations)
Adjust time windows
Expand nodes to find related sensors
Delete unwanted sensors","Input panel for query specification
Ranking panel for results","Filter by support value
Group similar strategies",,Component stage,,,Temporal alignment,,Trend patterns; Icons: Sensor type,,V (control) or S (state),,Domain-Specific,Information Retrieval/Query
